REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,  ,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2024
PIE,  ,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,5,9,1,4,19,2024
PIE,  ,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,3,3,3,1,10,2024
PIE,  ,C 24,Metallurgia                                                 ,1,1,0,0,2,2024
PIE,  ,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,13,24,19,14,70,2024
PIE,  ,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,3,3,0,2,8,2024
PIE,  ,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,4,1,2,3,10,2024
PIE,  ,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,9,5,5,2,21,2024
PIE,  ,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",5,2,2,2,11,2024
PIE,  ,C 30,Fabbricazione di altri mezzi di trasporto                   ,2,0,0,0,2,2024
PIE,  ,C 31,Fabbricazione di mobili                                     ,3,2,0,1,6,2024
PIE,  ,C 32,Altre industrie manifatturiere                              ,1,4,6,5,16,2024
PIE,  ,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",0,1,2,1,4,2024
PIE,  ,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",2,0,0,0,2,2024
PIE,  ,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",2,0,0,0,2,2024
PIE,  ,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",1,0,0,2,3,2024
PIE,  ,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2024
PIE,  ,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2024
PIE,  ,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",1,0,0,2,3,2024
PIE,  ,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2024
PIE,  ,F   ,Costruzioni                                                 ,73,45,267,102,487,2024
PIE,  ,F 41,Costruzione di edifici                                      ,47,33,37,58,175,2024
PIE,  ,F 42,Ingegneria civile                                           ,1,0,0,5,6,2024
PIE,  ,F 43,Lavori di costruzione specializzati                         ,25,12,230,39,306,2024
PIE,  ,G   ,Commercio all'ingrosso e al dettaglio; riparazione di aut...,141,192,129,36,498,2024
PIE,  ,G 45,Commercio all'ingrosso e al dettaglio e riparazione di au...,18,11,18,3,50,2024
PIE,  ,G 46,Commercio all'ingrosso (escluso quello di autoveicoli e d...,68,69,44,22,203,2024
PIE,  ,G 47,Commercio al dettaglio (escluso quello di autoveicoli e d...,55,112,67,11,245,2024
PIE,  ,H   ,Trasporto e magazzinaggio                                   ,14,14,17,102,147,2024
PIE,  ,H 49,Trasporto terrestre e mediante condotte                     ,8,12,17,35,72,2024
PIE,  ,H 50,Trasporto marittimo e per vie d'acqua                       ,0,0,0,0,0,2024
PIE,  ,H 51,Trasporto aereo                                             ,1,0,0,0,1,2024
PIE,  ,H 52,Magazzinaggio e attività di supporto ai trasporti           ,4,2,0,64,70,2024
PIE,  ,H 53,Servizi postali e attività di corriere                      ,1,0,0,3,4,2024
PIE,  ,I   ,Attività dei servizi alloggio e ristorazione                ,49,184,20,24,277,2024
PIE,  ,I 55,Alloggio                                                    ,4,6,0,1,11,2024
PIE,  ,I 56,Attività dei servizi di ristorazione                        ,45,178,20,23,266,2024
PIE,  ,J   ,Servizi di informazione e comunicazione                     ,17,11,3,22,53,2024
PIE,  ,J 58,Attività editoriali                                         ,2,2,0,4,8,2024
PIE,  ,J 59,"Attività di produzione cinematografica, di video e di pro...",1,0,0,2,3,2024
PIE,  ,J 60,Attività di programmazione e trasmissione                   ,2,1,0,1,4,2024
PIE,  ,J 61,Telecomunicazioni                                           ,1,4,1,0,6,2024
PIE,  ,J 62,"Produzione di software, consulenza informatica e attività...",6,1,2,4,13,2024
PIE,  ,J 63,Attività dei servizi d'informazione e altri servizi infor...,5,3,0,11,19,2024
PIE,  ,K   ,Attività finanziarie e assicurative                         ,7,9,13,0,29,2024
PIE,  ,K 64,Attività di servizi finanziari (escluse le assicurazioni ...,6,5,0,0,11,2024
PIE,  ,K 65,"Assicurazioni, riassicurazioni e fondi pensione (escluse ...",0,0,0,0,0,2024
PIE,  ,K 66,Attività ausiliarie dei servizi finanziari e delle attivi...,1,4,13,0,18,2024
PIE,  ,L   ,Attivita' immobiliari                                       ,28,48,4,94,174,2024
PIE,  ,L 68,Attivita' immobiliari                                       ,28,48,4,94,174,2024
PIE,  ,M   ,"Attività professionali, scientifiche e tecniche             ",38,22,8,24,92,2024
PIE,  ,M 69,Attività legali e contabilità                               ,2,1,0,2,5,2024
PIE,  ,M 70,Attività di direzione aziendale e di consulenza gestional...,14,6,1,10,31,2024
PIE,  ,M 71,Attività degli studi di architettura e d'ingegneria; coll...,4,5,0,3,12,2024
PIE,  ,M 72,Ricerca scientifica e sviluppo                              ,1,0,0,0,1,2024
PIE,  ,M 73,Pubblicità e ricerche di mercato                            ,8,3,3,5,19,2024
PIE,  ,M 74,"Altre attività professionali, scientifiche e tecniche       ",9,7,4,4,24,2024
PIE,  ,M 75,Servizi veterinari                                          ,0,0,0,0,0,2024
PIE,  ,N   ,"Noleggio, agenzie di viaggio, servizi di supporto alle im...",19,16,16,110,161,2024
PIE,  ,N 77,Attività di noleggio e leasing operativo                    ,5,2,1,1,9,2024
PIE,  ,N 78,"Attività di ricerca, selezione, fornitura di personale      ",0,0,0,1,1,2024
PIE,  ,N 79,"Attività dei servizi delle agenzie di viaggio, dei tour o...",1,0,0,1,2,2024
PIE,  ,N 80,Servizi di vigilanza e investigazione                       ,1,2,1,1,5,2024
PIE,  ,N 81,Attività di servizi per edifici e paesaggio                 ,5,5,8,68,86,2024
PIE,  ,N 82,Attività di supporto per le funzioni d'ufficio e altri se...,7,7,6,38,58,2024
PIE,  ,O   ,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2024
PIE,  ,O 84,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2024
PIE,  ,P   ,Istruzione                                                  ,2,4,0,10,16,2024
PIE,  ,P 85,Istruzione                                                  ,2,4,0,10,16,2024
PIE,  ,Q   ,Sanita' e assistenza sociale                                ,3,4,0,35,42,2024
PIE,  ,Q 86,Assistenza sanitaria                                        ,1,2,0,4,7,2024
PIE,  ,Q 87,Servizi di assistenza sociale residenziale                  ,1,1,0,3,5,2024
PIE,  ,Q 88,Assistenza sociale non residenziale                         ,1,1,0,28,30,2024
PIE,  ,R   ,"Attività artistiche, sportive, di intrattenimento e diver...",8,6,1,10,25,2024
PIE,  ,R 90,"Attività creative, artistiche e di intrattenimento          ",2,2,1,3,8,2024
PIE,  ,R 91,"Attività di biblioteche, archivi, musei ed altre attività...",0,0,0,1,1,2024
PIE,  ,R 92,"Attività riguardanti le lotterie, le scommesse, le case d...",1,0,0,0,1,2024
PIE,  ,R 93,"Attività sportive, di intrattenimento e di divertimento     ",5,4,0,6,15,2024
PIE,  ,S   ,Altre attività di servizi                                   ,12,13,14,14,53,2024
PIE,  ,S 94,Attività di organizzazioni associative                      ,0,0,0,1,1,2024
PIE,  ,S 95,Riparazione di computer e di beni per uso personale e per...,2,0,5,1,8,2024
PIE,  ,S 96,Altre attività di servizi per la persona                    ,10,13,9,12,44,2024
PIE,  ,T   ,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2024
PIE,  ,T 97,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2024
PIE,  ,T 98,Produzione di beni e servizi indifferenziati per uso prop...,0,0,0,0,0,2024
PIE,  ,U   ,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2024
PIE,  ,U 99,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2024
PIE,  ,XX  ,Imprese non classificate                                    ,90,235,6,130,461,2024
PIE,  ,TOT ,TOTALE                                                      ,595,917,627,805,2944,2024
PIE,TO,A   ,"Agricoltura, silvicoltura pesca                             ",1,0,5,6,12,2024
PIE,TO,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",1,0,5,6,12,2024
PIE,TO,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,0,0,0,0,2024
PIE,TO,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2024
PIE,TO,B   ,Estrazione di minerali da cave e miniere                    ,0,0,0,0,0,2024
PIE,TO,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2024
PIE,TO,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2024
PIE,TO,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2024
PIE,TO,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,0,0,0,2024
PIE,TO,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2024
PIE,TO,C   ,Attività manifatturiere                                     ,37,69,14,23,143,2024
PIE,TO,C 10,Industrie alimentari                                        ,1,5,1,0,7,2024
PIE,TO,C 11,Industria delle bevande                                     ,0,0,0,1,1,2024
PIE,TO,C 12,Industria del tabacco                                       ,0,0,0,0,0,2024
PIE,TO,C 13,Industrie tessili                                           ,0,3,0,0,3,2024
PIE,TO,C 14,Confezione di articoli di abbigliamento; confezione di ar...,2,3,1,0,6,2024
PIE,TO,C 15,Fabbricazione di articoli in pelle e simili                 ,0,3,0,0,3,2024
PIE,TO,C 16,Industria del legno e dei prodotti in legno e sughero (es...,2,7,1,1,11,2024
PIE,TO,C 17,Fabbricazione di carta e di prodotti di carta               ,0,1,0,0,1,2024
PIE,TO,C 18,Stampa e riproduzione di supporti registrati                ,0,4,0,3,7,2024
PIE,TO,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2024
PIE,TO,C 20,Fabbricazione di prodotti chimici                           ,2,1,0,0,3,2024
PIE,TO,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2024
PIE,TO,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,3,7,0,3,13,2024
PIE,TO,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,2,3,1,0,6,2024
PIE,TO,C 24,Metallurgia                                                 ,1,0,0,0,1,2024
PIE,TO,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,12,18,9,8,47,2024
PIE,TO,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,2,3,0,1,6,2024
PIE,TO,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,0,1,0,2,3,2024
PIE,TO,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,2,4,0,0,6,2024
PIE,TO,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",4,2,1,1,8,2024
PIE,TO,C 30,Fabbricazione di altri mezzi di trasporto                   ,2,0,0,0,2,2024
PIE,TO,C 31,Fabbricazione di mobili                                     ,2,2,0,0,4,2024
PIE,TO,C 32,Altre industrie manifatturiere                              ,0,1,0,3,4,2024
PIE,TO,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",0,1,0,0,1,2024
PIE,TO,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",2,0,0,0,2,2024
PIE,TO,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",2,0,0,0,2,2024
PIE,TO,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",1,0,0,2,3,2024
PIE,TO,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2024
PIE,TO,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2024
PIE,TO,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",1,0,0,2,3,2024
PIE,TO,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2024
PIE,TO,F   ,Costruzioni                                                 ,61,21,104,47,233,2024
PIE,TO,F 41,Costruzione di edifici                                      ,38,18,12,24,92,2024
PIE,TO,F 42,Ingegneria civile                                           ,1,0,0,4,5,2024
PIE,TO,F 43,Lavori di costruzione specializzati                         ,22,3,92,19,136,2024
PIE,TO,G   ,Commercio all'ingrosso e al dettaglio; riparazione di aut...,113,140,5,22,280,2024
PIE,TO,G 45,Commercio all'ingrosso e al dettaglio e riparazione di au...,15,9,3,2,29,2024
PIE,TO,G 46,Commercio all'ingrosso (escluso quello di autoveicoli e d...,53,57,1,12,123,2024
PIE,TO,G 47,Commercio al dettaglio (escluso quello di autoveicoli e d...,45,74,1,8,128,2024
PIE,TO,H   ,Trasporto e magazzinaggio                                   ,13,8,3,66,90,2024
PIE,TO,H 49,Trasporto terrestre e mediante condotte                     ,7,7,3,25,42,2024
PIE,TO,H 50,Trasporto marittimo e per vie d'acqua                       ,0,0,0,0,0,2024
PIE,TO,H 51,Trasporto aereo                                             ,1,0,0,0,1,2024
PIE,TO,H 52,Magazzinaggio e attività di supporto ai trasporti           ,4,1,0,38,43,2024
PIE,TO,H 53,Servizi postali e attività di corriere                      ,1,0,0,3,4,2024
PIE,TO,I   ,Attività dei servizi alloggio e ristorazione                ,43,101,3,8,155,2024
PIE,TO,I 55,Alloggio                                                    ,2,1,0,0,3,2024
PIE,TO,I 56,Attività dei servizi di ristorazione                        ,41,100,3,8,152,2024
PIE,TO,J   ,Servizi di informazione e comunicazione                     ,13,4,0,15,32,2024
PIE,TO,J 58,Attività editoriali                                         ,1,1,0,3,5,2024
PIE,TO,J 59,"Attività di produzione cinematografica, di video e di pro...",1,0,0,1,2,2024
PIE,TO,J 60,Attività di programmazione e trasmissione                   ,1,1,0,0,2,2024
PIE,TO,J 61,Telecomunicazioni                                           ,1,1,0,0,2,2024
PIE,TO,J 62,"Produzione di software, consulenza informatica e attività...",5,1,0,3,9,2024
PIE,TO,J 63,Attività dei servizi d'informazione e altri servizi infor...,4,0,0,8,12,2024
PIE,TO,K   ,Attività finanziarie e assicurative                         ,4,4,0,0,8,2024
PIE,TO,K 64,Attività di servizi finanziari (escluse le assicurazioni ...,3,3,0,0,6,2024
PIE,TO,K 65,"Assicurazioni, riassicurazioni e fondi pensione (escluse ...",0,0,0,0,0,2024
PIE,TO,K 66,Attività ausiliarie dei servizi finanziari e delle attivi...,1,1,0,0,2,2024
PIE,TO,L   ,Attivita' immobiliari                                       ,25,20,0,84,129,2024
PIE,TO,L 68,Attivita' immobiliari                                       ,25,20,0,84,129,2024
PIE,TO,M   ,"Attività professionali, scientifiche e tecniche             ",36,15,2,14,67,2024
PIE,TO,M 69,Attività legali e contabilità                               ,2,1,0,1,4,2024
PIE,TO,M 70,Attività di direzione aziendale e di consulenza gestional...,13,2,0,5,20,2024
PIE,TO,M 71,Attività degli studi di architettura e d'ingegneria; coll...,4,4,0,3,11,2024
PIE,TO,M 72,Ricerca scientifica e sviluppo                              ,1,0,0,0,1,2024
PIE,TO,M 73,Pubblicità e ricerche di mercato                            ,8,3,2,4,17,2024
PIE,TO,M 74,"Altre attività professionali, scientifiche e tecniche       ",8,5,0,1,14,2024
PIE,TO,M 75,Servizi veterinari                                          ,0,0,0,0,0,2024
PIE,TO,N   ,"Noleggio, agenzie di viaggio, servizi di supporto alle im...",19,9,6,52,86,2024
PIE,TO,N 77,Attività di noleggio e leasing operativo                    ,5,1,0,0,6,2024
PIE,TO,N 78,"Attività di ricerca, selezione, fornitura di personale      ",0,0,0,1,1,2024
PIE,TO,N 79,"Attività dei servizi delle agenzie di viaggio, dei tour o...",1,0,0,1,2,2024
PIE,TO,N 80,Servizi di vigilanza e investigazione                       ,1,2,0,0,3,2024
PIE,TO,N 81,Attività di servizi per edifici e paesaggio                 ,5,1,5,33,44,2024
PIE,TO,N 82,Attività di supporto per le funzioni d'ufficio e altri se...,7,5,1,17,30,2024
PIE,TO,O   ,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2024
PIE,TO,O 84,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2024
PIE,TO,P   ,Istruzione                                                  ,1,3,0,4,8,2024
PIE,TO,P 85,Istruzione                                                  ,1,3,0,4,8,2024
PIE,TO,Q   ,Sanita' e assistenza sociale                                ,3,3,0,13,19,2024
PIE,TO,Q 86,Assistenza sanitaria                                        ,1,1,0,2,4,2024
PIE,TO,Q 87,Servizi di assistenza sociale residenziale                  ,1,1,0,2,4,2024
PIE,TO,Q 88,Assistenza sociale non residenziale                         ,1,1,0,9,11,2024
PIE,TO,R   ,"Attività artistiche, sportive, di intrattenimento e diver...",8,4,0,5,17,2024
PIE,TO,R 90,"Attività creative, artistiche e di intrattenimento          ",2,2,0,2,6,2024
PIE,TO,R 91,"Attività di biblioteche, archivi, musei ed altre attività...",0,0,0,0,0,2024
PIE,TO,R 92,"Attività riguardanti le lotterie, le scommesse, le case d...",1,0,0,0,1,2024
PIE,TO,R 93,"Attività sportive, di intrattenimento e di divertimento     ",5,2,0,3,10,2024
PIE,TO,S   ,Altre attività di servizi                                   ,11,7,3,7,28,2024
PIE,TO,S 94,Attività di organizzazioni associative                      ,0,0,0,0,0,2024
PIE,TO,S 95,Riparazione di computer e di beni per uso personale e per...,1,0,1,1,3,2024
PIE,TO,S 96,Altre attività di servizi per la persona                    ,10,7,2,6,25,2024
PIE,TO,T   ,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2024
PIE,TO,T 97,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2024
PIE,TO,T 98,Produzione di beni e servizi indifferenziati per uso prop...,0,0,0,0,0,2024
PIE,TO,U   ,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2024
PIE,TO,U 99,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2024
PIE,TO,XX  ,Imprese non classificate                                    ,84,209,1,62,356,2024
PIE,TO,TOT ,TOTALE                                                      ,475,617,146,430,1668,2024
PIE,VC,A   ,"Agricoltura, silvicoltura pesca                             ",0,0,0,2,2,2024
PIE,VC,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",0,0,0,2,2,2024
PIE,VC,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,0,0,0,0,2024
PIE,VC,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2024
PIE,VC,B   ,Estrazione di minerali da cave e miniere                    ,0,0,0,0,0,2024
PIE,VC,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2024
PIE,VC,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2024
PIE,VC,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2024
PIE,VC,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,0,0,0,2024
PIE,VC,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2024
PIE,VC,C   ,Attività manifatturiere                                     ,9,7,0,2,18,2024
PIE,VC,C 10,Industrie alimentari                                        ,0,3,0,1,4,2024
PIE,VC,C 11,Industria delle bevande                                     ,0,0,0,0,0,2024
PIE,VC,C 12,Industria del tabacco                                       ,0,0,0,0,0,2024
PIE,VC,C 13,Industrie tessili                                           ,0,0,0,0,0,2024
PIE,VC,C 14,Confezione di articoli di abbigliamento; confezione di ar...,3,1,0,0,4,2024
PIE,VC,C 15,Fabbricazione di articoli in pelle e simili                 ,0,0,0,0,0,2024
PIE,VC,C 16,Industria del legno e dei prodotti in legno e sughero (es...,0,2,0,0,2,2024
PIE,VC,C 17,Fabbricazione di carta e di prodotti di carta               ,0,0,0,0,0,2024
PIE,VC,C 18,Stampa e riproduzione di supporti registrati                ,1,0,0,0,1,2024
PIE,VC,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2024
PIE,VC,C 20,Fabbricazione di prodotti chimici                           ,0,0,0,0,0,2024
PIE,VC,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2024
PIE,VC,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,1,0,0,0,1,2024
PIE,VC,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,1,0,0,1,2,2024
PIE,VC,C 24,Metallurgia                                                 ,0,0,0,0,0,2024
PIE,VC,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,0,1,0,0,1,2024
PIE,VC,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,1,0,0,0,1,2024
PIE,VC,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,0,0,0,0,0,2024
PIE,VC,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,2,0,0,0,2,2024
PIE,VC,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",0,0,0,0,0,2024
PIE,VC,C 30,Fabbricazione di altri mezzi di trasporto                   ,0,0,0,0,0,2024
PIE,VC,C 31,Fabbricazione di mobili                                     ,0,0,0,0,0,2024
PIE,VC,C 32,Altre industrie manifatturiere                              ,0,0,0,0,0,2024
PIE,VC,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",0,0,0,0,0,2024
PIE,VC,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,0,0,0,2024
PIE,VC,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,0,0,0,2024
PIE,VC,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",0,0,0,0,0,2024
PIE,VC,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2024
PIE,VC,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2024
PIE,VC,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",0,0,0,0,0,2024
PIE,VC,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2024
PIE,VC,F   ,Costruzioni                                                 ,2,1,0,7,10,2024
PIE,VC,F 41,Costruzione di edifici                                      ,1,0,0,5,6,2024
PIE,VC,F 42,Ingegneria civile                                           ,0,0,0,0,0,2024
PIE,VC,F 43,Lavori di costruzione specializzati                         ,1,1,0,2,4,2024
PIE,VC,G   ,Commercio all'ingrosso e al dettaglio; riparazione di aut...,5,5,0,0,10,2024
PIE,VC,G 45,Commercio all'ingrosso e al dettaglio e riparazione di au...,0,0,0,0,0,2024
PIE,VC,G 46,Commercio all'ingrosso (escluso quello di autoveicoli e d...,4,1,0,0,5,2024
PIE,VC,G 47,Commercio al dettaglio (escluso quello di autoveicoli e d...,1,4,0,0,5,2024
PIE,VC,H   ,Trasporto e magazzinaggio                                   ,1,0,0,5,6,2024
PIE,VC,H 49,Trasporto terrestre e mediante condotte                     ,1,0,0,2,3,2024
PIE,VC,H 50,Trasporto marittimo e per vie d'acqua                       ,0,0,0,0,0,2024
PIE,VC,H 51,Trasporto aereo                                             ,0,0,0,0,0,2024
PIE,VC,H 52,Magazzinaggio e attività di supporto ai trasporti           ,0,0,0,3,3,2024
PIE,VC,H 53,Servizi postali e attività di corriere                      ,0,0,0,0,0,2024
PIE,VC,I   ,Attività dei servizi alloggio e ristorazione                ,0,5,0,0,5,2024
PIE,VC,I 55,Alloggio                                                    ,0,1,0,0,1,2024
PIE,VC,I 56,Attività dei servizi di ristorazione                        ,0,4,0,0,4,2024
PIE,VC,J   ,Servizi di informazione e comunicazione                     ,0,0,0,0,0,2024
PIE,VC,J 58,Attività editoriali                                         ,0,0,0,0,0,2024
PIE,VC,J 59,"Attività di produzione cinematografica, di video e di pro...",0,0,0,0,0,2024
PIE,VC,J 60,Attività di programmazione e trasmissione                   ,0,0,0,0,0,2024
PIE,VC,J 61,Telecomunicazioni                                           ,0,0,0,0,0,2024
PIE,VC,J 62,"Produzione di software, consulenza informatica e attività...",0,0,0,0,0,2024
PIE,VC,J 63,Attività dei servizi d'informazione e altri servizi infor...,0,0,0,0,0,2024
PIE,VC,K   ,Attività finanziarie e assicurative                         ,0,0,0,0,0,2024
PIE,VC,K 64,Attività di servizi finanziari (escluse le assicurazioni ...,0,0,0,0,0,2024
PIE,VC,K 65,"Assicurazioni, riassicurazioni e fondi pensione (escluse ...",0,0,0,0,0,2024
PIE,VC,K 66,Attività ausiliarie dei servizi finanziari e delle attivi...,0,0,0,0,0,2024
PIE,VC,L   ,Attivita' immobiliari                                       ,0,3,0,2,5,2024
PIE,VC,L 68,Attivita' immobiliari                                       ,0,3,0,2,5,2024
PIE,VC,M   ,"Attività professionali, scientifiche e tecniche             ",0,0,0,0,0,2024
PIE,VC,M 69,Attività legali e contabilità                               ,0,0,0,0,0,2024
PIE,VC,M 70,Attività di direzione aziendale e di consulenza gestional...,0,0,0,0,0,2024
PIE,VC,M 71,Attività degli studi di architettura e d'ingegneria; coll...,0,0,0,0,0,2024
PIE,VC,M 72,Ricerca scientifica e sviluppo                              ,0,0,0,0,0,2024
PIE,VC,M 73,Pubblicità e ricerche di mercato                            ,0,0,0,0,0,2024
PIE,VC,M 74,"Altre attività professionali, scientifiche e tecniche       ",0,0,0,0,0,2024
PIE,VC,M 75,Servizi veterinari                                          ,0,0,0,0,0,2024
PIE,VC,N   ,"Noleggio, agenzie di viaggio, servizi di supporto alle im...",0,0,0,6,6,2024
PIE,VC,N 77,Attività di noleggio e leasing operativo                    ,0,0,0,0,0,2024
PIE,VC,N 78,"Attività di ricerca, selezione, fornitura di personale      ",0,0,0,0,0,2024
PIE,VC,N 79,"Attività dei servizi delle agenzie di viaggio, dei tour o...",0,0,0,0,0,2024
PIE,VC,N 80,Servizi di vigilanza e investigazione                       ,0,0,0,0,0,2024
PIE,VC,N 81,Attività di servizi per edifici e paesaggio                 ,0,0,0,5,5,2024
PIE,VC,N 82,Attività di supporto per le funzioni d'ufficio e altri se...,0,0,0,1,1,2024
